Folder,EdsFile,CIP Vendor,CIP Product Type,CIP Product Code,Revision,ProdType,ProdTypeStr,DescText,MajRev,MinRev,Catalog
DeviceNet,0001007E84090500.eds,0001,126,33801,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-V4P8...
DeviceNet,0001009584090100.eds,0001,149,33801,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-V4P8...
DeviceNet,0001009584090200.eds,0001,149,33801,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-V4P8...
DeviceNet,0001009584090300.eds,0001,149,33801,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-V4P8...
DeviceNet,0001009584090400.eds,0001,149,33801,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-V4P8...
DeviceNet,0001009584090500.eds,0001,149,33801,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-V4P8...
DeviceNet,0001007E85090400.eds,0001,126,34057,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-V6P0...
DeviceNet,0001007E85090500.eds,0001,126,34057,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-V6P0...
DeviceNet,0001009585090100.eds,0001,149,34057,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-V6P0...
DeviceNet,0001009585090200.eds,0001,149,34057,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-V6P0...
DeviceNet,0001009585090300.eds,0001,149,34057,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-V6P0...
